Date,BWA,Sanger,DKFZ/EMBL,Broad,OxoG
14-08-01,0,,,,
14-08-02,1,,,,
14-08-03,30,,,,
14-08-04,40,,,,
14-08-05,69,,,,
14-08-06,110,,,,
14-08-07,110,,,,
14-08-08,110,,,,
14-08-09,110,,,,
14-08-10,110,,,,
14-08-11,123,,,,
14-08-12,226,,,,
14-08-13,340,,,,
14-08-14,431,,,,
14-08-15,459,,,,
14-08-16,493,,,,
14-08-17,566,,,,
14-08-18,613,,,,
14-08-19,656,,,,
14-08-20,690,,,,
14-08-21,733,,,,
14-08-22,795,,,,
14-08-23,861,,,,
14-08-24,932,,,,
14-08-25,1014,,,,
14-08-26,1045,,,,
14-08-27,1082,,,,
14-08-28,1165,,,,
14-08-29,1275,,,,
14-08-30,1335,,,,
14-08-31,1362,,,,
14-09-01,1471,,,,
14-09-02,1497,,,,
14-09-03,1532,,,,
14-09-04,1548,,,,
14-09-05,1602,,,,
14-09-06,1690,,,,
14-09-07,1752,,,,
14-09-08,1834,,,,
14-09-09,1891,,,,
14-09-10,1961,,,,
14-09-11,1998,,,,
14-09-12,2005,,,,
14-09-13,2016,,,,
14-09-14,2038,,,,
14-09-15,2048,,,,
14-09-16,2057,,,,
14-09-17,2065,,,,
14-09-18,2091,,,,
14-09-19,2144,,,,
14-09-20,2163,,,,
14-09-21,2178,,,,
14-09-22,2209,,,,
14-09-23,2266,,,,
14-09-24,2310,,,,
14-09-25,2356,,,,
14-09-26,2398,,,,
14-09-27,2423,,,,
14-09-28,2486,,,,
14-09-29,2559,,,,
14-09-30,2647,,,,
14-10-01,2693,,,,
14-10-02,2750,,,,
14-10-03,2824,,,,
14-10-04,2899,,,,
14-10-05,2935,,,,
14-10-06,2963,,,,
14-10-07,2983,,,,
14-10-08,3008,,,,
14-10-09,3039,,,,
14-10-10,3052,,,,
14-10-11,3069,,,,
14-10-12,3103,,,,
14-10-13,3131,,,,
14-10-14,3159,,,,
14-10-15,3199,,,,
14-10-16,3247,,,,
14-10-17,3304,,,,
14-10-18,3359,,,,
14-10-19,3388,,,,
14-10-20,3430,,,,
14-10-21,3471,,,,
14-10-22,3489,,,,
14-10-23,3544,,,,
14-10-24,3583,,,,
14-10-25,3602,,,,
14-10-26,3625,,,,
14-10-27,3648,,,,
14-10-28,3665,,,,
14-10-29,3682,,,,
14-10-30,3736,,,,
14-10-31,3748,,,,
14-11-01,3761,,,,
14-11-02,3772,,,,
14-11-03,3839,,,,
14-11-04,3863,,,,
14-11-05,3878,,,,
14-11-06,3889,,,,
14-11-07,3942,,,,
14-11-08,3949,,,,
14-11-09,3959,,,,
14-11-10,3967,,,,
14-11-11,3972,,,,
14-11-12,3977,,,,
14-11-13,3980,,,,
14-11-14,4013,,,,
14-11-15,4023,,,,
14-11-16,4023,,,,
14-11-17,4025,,,,
14-11-18,4025,,,,
14-11-19,4027,,,,
14-11-20,4027,,,,
14-11-21,4063,,,,
14-11-22,4079,,,,
14-11-23,4079,,,,
14-11-24,4079,,,,
14-11-25,4079,,,,
14-11-26,4079,,,,
14-11-27,4081,,,,
14-11-28,4100,,,,
14-11-29,4106,,,,
14-11-30,4110,,,,
14-12-01,4120,,,,
14-12-02,4122,,,,
14-12-03,4128,,,,
14-12-04,4135,,,,
14-12-05,4139,,,,
14-12-06,4150,,,,
14-12-07,4158,,,,
14-12-08,4166,,,,
14-12-09,4172,,,,
14-12-10,4177,,,,
14-12-11,4179,,,,
14-12-12,4180,,,,
14-12-13,4186,,,,
14-12-14,4188,,,,
14-12-15,4188,,,,
14-12-16,4199,,,,
14-12-17,4202,,,,
14-12-18,4202,,,,
14-12-19,4204,,,,
14-12-20,4204,,,,
14-12-21,4204,,,,
14-12-22,4204,,,,
14-12-23,4204,,,,
14-12-24,4205,,,,
14-12-25,4205,,,,
14-12-26,4205,,,,
14-12-27,4205,,,,
14-12-28,4205,,,,
14-12-29,4205,,,,
14-12-30,4205,,,,
14-12-31,4205,,,,
15-01-01,4205,,,,
15-01-02,4206,,,,
15-01-03,4206,,,,
15-01-04,4206,,,,
15-01-05,4206,,,,
15-01-06,4206,,,,
15-01-07,4206,,,,
15-01-08,4206,,,,
15-01-09,4206,,,,
15-01-10,4206,0,,,
15-01-11,4207,40,,,
15-01-12,4216,47,,,
15-01-13,4237,88,,,
15-01-14,4246,97,,,
15-01-15,4246,106,,,
15-01-16,4247,114,,,
15-01-17,4247,132,,,
15-01-18,4250,141,,,
15-01-19,4254,145,,,
15-01-20,4254,186,,,
15-01-21,4255,218,,,
15-01-22,4257,221,,,
15-01-23,4259,237,,,
15-01-24,4259,255,,,
15-01-25,4267,275,,,
15-01-26,4268,288,,,
15-01-27,4278,291,,,
15-01-28,4284,303,,,
15-01-29,4285,322,,,
15-01-30,4286,339,,,
15-01-31,4286,361,,,
15-02-01,4286,384,,,
15-02-02,4286,394,,,
15-02-03,4286,410,,,
15-02-04,4287,442,,,
15-02-05,4287,461,,,
15-02-06,4287,507,,,
15-02-07,4287,538,,,
15-02-08,4287,554,,,
15-02-09,4287,565,,,
15-02-10,4287,598,,,
15-02-11,4287,613,,,
15-02-12,4287,623,,,
15-02-13,4287,652,,,
15-02-14,4287,677,,,
15-02-15,4287,688,,,
15-02-16,4287,706,,,
15-02-17,4287,720,,,
15-02-18,4287,755,,,
15-02-19,4287,769,,,
15-02-20,4287,804,,,
15-02-21,4287,817,,,
15-02-22,4287,833,,,
15-02-23,4287,856,,,
15-02-24,4287,876,,,
